"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Biotechnology; Cancer; Clinical Research; Eye Disease and Disorders of Vision; Genetics; Kidney Disease","Address;Aniridia;Binding;Binding Sites;Biochemical;Biochemical Genetics;Biological Assay;Candidate Disease Gene;Cell Culture Techniques;Cell Differentiation process;Cell Line;Chromatin;Chromatin Structure;Chromosome Mapping;Coloboma;Cystic Kidney Diseases;DNA;DNA Binding;DNA Methylation;DNA-Binding Proteins;DNA-Protein Interaction;Data;Development;Differentiation and Growth;Disease;Distal;Dysplasia;Embryo;Embryonic Development;Engineering;Epithelial;Epithelial Cells;Epithelium;Event;Exhibits;Eye;GDNF gene;Gene Activation;Gene Dosage;Gene Expression;Gene Targeting;Genes;Genetic Programming;Genetic Transcription;Genomics;Homologous Gene;Human;In Situ Hybridization;Kidney;Kidney Diseases;Knockout Mice;Loss of Heterozygosity;Maintenance;Mammals;Mesenchymal;Mesenchyme;Metanephric Diverticulum;Methods;Methylation;Mus;Mutate;Mutation;Nephroblastoma;Northern Blotting;Nuclear;Nuclear Matrix;Pattern;Phenotype;Phosphorylation Site;Process;Proteins;Reading;Regulatory Element;Renal Cell Carcinoma;Reporter Genes;Retroviridae;Screening procedure;Structure;Syndrome;Techniques;Testing;Transactivation;Transcriptional Regulation;Transformed Cell Line;Tubular formation;design;human disease;in vivo;insight;kidney cell;mutant;novel;renal epithelium;research study;response;transcription factor","PAX2 gene targets, binding sites and function","n/a","NIDDK","7628471","5/19/2009 12:00:00 AM","PA-00-003","5K08DK064333-06","5","K08","DK","064333","06"," ","RANKIN, TRACY L","6/1/2005 12:00:00 AM","2/28/2011 12:00:00 AM","Kidney, Urologic and Hematologic Diseases D Study Section[DDK-D]"," ","7144311","BROPHY, PATRICK D","Not Applicable","02","PEDIATRICS","062761671","Z1H9VJS8NG16","062761671","Z1H9VJS8NG16","US","41.662689","-91.547715","3972901","UNIVERSITY OF IOWA","IOWA CITY","IA","SCHOOLS OF MEDICINE","522421320","UNITED STATES","N","6/1/2009 12:00:00 AM","2/28/2011 12:00:00 AM","847","Other Research-Related","2009"," "," ","NIDDK"," "," "," ","127926",
"Clinical Research; Infectious Diseases; Lung","Acute;Address;Alveolar;Alveolar Macrophages;Animal Model;B-Lymphocytes;Blood Circulation;Bone Marrow;Cells;Correlative Study;Cytolysis;Data;Deposition;Development;Dinoprostone;Disease;Eicosanoids;Epithelial Cells;Epstein-Barr Virus Infections;Event;Extracellular Matrix;Fibroblasts;Fibrosis;Fluorescein;Fluoresceins;Generations;Hamman-Rich syndrome;Herpesviridae Infections;Human;Human Herpesvirus 4;Immune response;Infection;Inflammation;Injury;Interferons;Interleukin-13;Isothiocyanates;Kinetics;Lead;Leukocytes;Leukotrienes;Lung;Lytic;Lytic Phase;Mediator of activation protein;Mesenchymal;Mus;Pathogenesis;Patients;Play;Process;Production;Property;Pulmonary Fibrosis;Recruitment Activity;Research;Role;Site;Therapeutic;Viral;Virus Diseases;Work;Wound Healing;abstracting;beta-Chemokines;cell injury;cysteinyl-leukotriene;cytokine;gammaherpesvirus;insight;interstitial;latent infection;lung injury;macrophage;member;migration;novel;repaired;research study;response","Herpesvirus infection/injury govern fibrocyte recruitment and activation","n/a","NHLBI","7575786","2/17/2009 12:00:00 AM","PA-07-070","5R01HL087846-02","5","R01","HL","087846","02"," ","REYNOLDS, HERBERT Y","3/1/2008 12:00:00 AM","2/28/2012 12:00:00 AM","Special Emphasis Panel[ZRG1-RES-B(02)M]"," ","1862832","TOEWS, GALEN B","Not Applicable","12","INTERNAL MEDICINE/MEDICINE","073133571","GNJ7BBP73WE9","073133571","GNJ7BBP73WE9","US","42.244005","-83.73915","1506502","UNIVERSITY OF MICHIGAN AT ANN ARBOR","ANN ARBOR","MI","SCHOOLS OF MEDICINE","481091276","UNITED STATES","N","3/1/2009 12:00:00 AM","2/28/2010 12:00:00 AM","838","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","376241",
"Asthma; Health Effects of Climate Change; Lung; Neurosciences; Pediatric","Acute;Address;Adult;Air Pollutants;Allergens;Allergic;Animals;Antigens;Asthma;Basal Cell;Basement membrane;Breathing;Characteristics;Child;Chronic;Complex;Cues;Development;Differentiation and Growth;Efferent Neurons;Environmental Exposure;Epithelial;Equilibrium;Exposure to;Extrinsic asthma;Failure;Fibroblast Growth Factor 2;Funding;Generations;Goals;Growth;Growth Factor;Growth and Development function;Homeostasis;House Dust Mite Allergens;Immune response;Infant;Inflammation;Injury;Life;Lower respiratory tract structure;Lung;Lung Compliance;Lymphocyte;Macaca mulatta;Mesenchymal;Modeling;Monkeys;Nerve;Nerve Tissue;Neuraxis;Neurons;Oxidants;Ozone;Phenotype;Predisposition;Pyroglyphidae;Recording of previous events;Respiratory System;Sensory;Severities;Signal Transduction;Smooth Muscle;Structure;Surface;afferent nerve;airway hyperresponsiveness;airway remodeling;animal tissue;density;emerging adult;extracellular;infancy;lung development;lymph nodes;nerve supply;neuronal guidance;neuroregulation;ozone exposure;pollutant;postnatal;programs;pulmonary function;relating to nervous system;repaired;research study;respiratory smooth muscle;response","Project 3 - Postnantal Development of Airway Neural Control","n/a","NIEHS","7822866"," "," ","5P01ES000628-35","5","P01","ES","000628","35"," "," "," "," ","ZES1","0021","1882862","SCHELEGLE, EDWARD S","Not Applicable","03","Unavailable","047120084","TX2DAGQPENZ5","047120084","TX2DAGQPENZ5","US","38.543675","-121.729989","577503","UNIVERSITY OF CALIFORNIA AT DAVIS","DAVIS","CA","Domestic Higher Education","956186153","UNITED STATES","N","5/1/2009 12:00:00 AM","4/30/2010 12:00:00 AM"," ","Non-SBIR/STTR","2009","211738","211738"," "," "," "," "," ",
"Dental/Oral and Craniofacial Disease; Genetics","Affect;BMP2 gene;Binding;Biochemical;Biological Process;Categories;Cells;Cellular Membrane;Cleaved cell;Collagen;Collagen Type I;DSPP gene;Data;Defect;Dentin;Dentin Formation;Dentinogenesis;Dentinogenesis Imperfecta;Development;Disease;ENG gene;Event;Extracellular Matrix Proteins;Family;Gelatinase B;Gene Cluster;Genetic;Genetic Transcription;Goals;Hereditary Disease;Human;Inborn Genetic Diseases;Integrins;Knockout Mice;Knowledge;Lead;Length;Ligand Binding;Membrane;Mesenchymal;Molecular;Mutation;N-terminal;Natural regeneration;Nature;Odontoblasts;Osteoblasts;Osteogenesis;Pathogenesis;Pathway interactions;Pattern;Peptide Hydrolases;Play;Post-Translational Protein Processing;Process;Proteins;Proteolytic Processing;Regulation;Research;Research Personnel;Role;Series;Siblings;Signal Pathway;Signal Transduction;Signal Transduction Pathway;Site;Structure;Testing;Tooth Diseases;Tooth structure;Transcriptional Regulation;Work;base;biomineralization;bone;design;innovation;insight;member;novel;public health relevance;receptor;repaired;research study;transcription factor","DSPP signaling in dentinogenesis","
Dentin sialophosphoprotein (DSPP) protein is important for dentin formation as DSPP mutations
cause dentinogenesis imperfectas, the most common dentin genetic diseases. Here, we propose a
novel pathway for DSPP transcriptional regulation, proteolytic processing and signaling transduction
pathway for dentinogenesis. Thereafter, better understanding of the mechanisms of DSPP biological
functions will provide new avenues for repair and regeneration of teeth.","NIDCR","7699217","5/18/2009 12:00:00 AM","PA-07-070","1R01DE019802-01","1","R01","DE","019802","01"," ","SCHOLNICK, STEVEN","5/18/2009 12:00:00 AM","4/30/2014 12:00:00 AM","Special Emphasis Panel[ZRG1-MOSS-K(09)S]"," ","1868973","CHEN, SHUO ","Not Applicable","21","DENTISTRY","800772162","C3KXNLTAAY98","800772162","C3KXNLTAAY98","US","29.513082","-98.577731","578418","UNIVERSITY OF TEXAS HLTH SCIENCE CENTER","SAN ANTONIO","TX","SCHOOLS OF DENTISTRY/ORAL HYGN","782293901","UNITED STATES","N","5/18/2009 12:00:00 AM","4/30/2010 12:00:00 AM","121","Non-SBIR/STTR","2009"," "," ","NIDCR"," "," "," ","296667",
"Dental/Oral and Craniofacial Disease; Genetics; Pediatric","Ablation;Alopecia;Binding Sites;Biology;Branchial arch structure;Calvaria;Cell Line;Cells;Cessation of life;Characteristics;DNA Binding;Defect;Development;Developmental Process;Disease;Distal;Dominant-Negative Mutation;Ectoderm;Ectodermal Dysplasia;Embryo;Embryonic Development;Epidermis;Epithelial;Epithelial Cells;Failure;Family;Gene Expression;Gene Targeting;Genes;Genetic Transcription;Goals;Growth;Hair;Hair follicle structure;Hair shaft structure;Homeobox;Homeodomain Proteins;Human;Individual;Knock-in Mouse;Laboratories;LacZ Genes;Lead;Lesion;Link;Mesenchymal;Molecular;Monitor;Morphogenesis;Mus;Mutate;Mutation;Organ;Osteoblasts;Osteogenesis;Pathogenesis;Pathway interactions;Patients;Pattern;Phosphorylation;Phosphotransferases;Placenta;Placentation;Plant Roots;Play;Positioning Attribute;Process;Protein Isoforms;Regulation;Reporter Genes;Research;Role;Series;Signal Transduction;Skeletal Development;Skin;Staining method;Stains;Stem cells;Stratification;Structure;Syndrome;Tetracyclines;Tissues;Tooth structure;Transcription Coactivator;Transcriptional Regulation;Work;appendage;beta-Galactosidase;bone;craniofacial;early onset;homeodomain;keratinocyte;loss of function;member;mouse model;mutant;osteogenic;programs;promoter;transcription factor;tricho-dento-osseous syndrome","Ectodermal Dysplasias and Regulation of Ectodermal Appendage Development","n/a","NIAMS","7964956"," "," ","1ZIAAR041171-02","1","ZIA","AR","041171","02"," "," "," "," "," "," ","9691698","MORASSO, MARIA ","Not Applicable","n/a","Unavailable"," "," "," "," "," "," "," "," ","NATIONAL INSTITUTE OF ARTHRITIS AND MUSCULOSKELETAL AND SKIN DISEASES"," "," ","Other Domestic Non-Profits"," ","UNITED STATES","N"," "," "," ","Intramural Research","2009"," "," ","NIAMS"," "," "," ","1160443",
"Genetics; Pediatric","22q11 Deletion Syndrome;Ablation;Affect;Alleles;Apical Ectodermal Ridge;Apocrine Glands;Binding;Biochemical;Biological Models;Biology;Boxing;Congenital Abnormality;Coupled;DNA Binding;Data;Defect;Development;Distal;Dominant-Negative Mutation;Ectoderm;Elements;Embryo;Embryonic Development;Epithelial;Evaluation;Exons;Family;Forearm;Functional disorder;Gene Expression;Gene Targeting;Genes;Genetic;Genital system;Genitalia;Genotype;Germ-Line Mutation;Goals;Growth;Hand;Heterozygote;Holt Oram syndrome;Homozygote;Human;Human Development;In Vitro;Investigation;Lead;Limb Bud;Limb Development;Limb structure;Location;Mammary gland;Mediating;Mesenchymal;Mesenchyme;Mesoderm;Modeling;Molecular;Molecular Genetics;Moon;Mus;Mutagenesis;Mutate;Mutation;Organ;Pathway interactions;Patients;Pattern;Phenotype;Property;Protein Deficiency;Proteins;Reagent;Research Personnel;Role;Signal Pathway;Skeletal Development;Staging;Syndrome;System;Techniques;Tertiary Protein Structure;Time;Tissues;Tooth structure;Transcription Coactivator;Translational Research;Ulnar-Mammary Schinzel Syndrome;base;blastocyst;cell behavior;embryonic stem cell;flexibility;in vivo;insight;interest;loss of function mutation;mammalian genome;migration;mouse model;mutant;novel;prevent;programs;protein protein interaction;recombinase;research study;skeletal;soft tissue;tool;transcription factor","Mutagenesis of Tbx3: a model of ulnar-mammary syndrome","n/a","NICHD","7534384","12/12/2008 12:00:00 AM"," ","5R01HD046767-05","5","R01","HD","046767","05"," ","JAVOIS, LORETTE CLAIRE","12/15/2004 12:00:00 AM","11/30/2010 12:00:00 AM","Development - 2 Study Section[DEV-2]"," ","1917512","MOON, ANNE M","Not Applicable","02","Unavailable","009095365","LL8GLEVH6MG3","009095365","LL8GLEVH6MG3","US","40.76776","-111.832926","514002","UNIVERSITY OF UTAH","SALT LAKE CITY","UT","Domestic Higher Education","841128930","UNITED STATES","N","12/1/2008 12:00:00 AM","11/30/2010 12:00:00 AM","865","Non-SBIR/STTR","2009"," "," ","NICHD"," "," "," ","312566",
"Genetics; Pediatric","Adaptor Signaling Protein;Architecture;Binding;Biological Assay;Cell Communication;Cell Polarity;Cells;Complex;Data;Development;Dominant-Negative Mutation;Elements;Embryo;Embryonic Development;Epithelial;Epithelial Cells;Epithelium;Family member;Gene Activation;Genes;Growth;Growth Disorders;Growth and Development function;Hair;Hair Follicle Neoplasm;Hair follicle structure;Ligands;Maintenance;Mediating;Mesenchymal;Morphogenesis;Movement;Mus;Mutant Strains Mice;Mutation;Natural regeneration;Pathway interactions;Phase;Phenotype;Plant Roots;Play;Proteins;Research Personnel;Role;Signal Pathway;Signal Transduction;Site;Skin;TNF gene;Testing;Transcript;Transgenic Mice;Transgenic Organisms;Tumor Necrosis Factor Receptor;Tumor Necrosis Factor-alpha;Tumor Necrosis Factors;Up-Regulation;WNT Signaling Pathway;Wound Healing;appendage;beta catenin;cell motility;chromatin immunoprecipitation;ectodysplasin;in vivo;inhibitor/antagonist;keratinocyte;mouse crinkled protein;mouse model;mutant;novel;paracrine;postnatal;programs;promoter;receptor;research study","WNT signals in skin and hair development and hair growth","n/a","NIAMS","7568956","2/11/2009 12:00:00 AM"," ","5R01AR047709-09","5","R01","AR","047709","09"," ","BAKER, CARL","4/1/2001 12:00:00 AM","2/28/2011 12:00:00 AM","Arthritis, Connective Tissue and Skin Study Section[ACTS]"," ","6623783","MILLAR, SARAH E.","Not Applicable","03","DERMATOLOGY","042250712","GM1XX56LEP58","042250712","GM1XX56LEP58","US","39.952982","-75.192768","6463801","UNIVERSITY OF PENNSYLVANIA","PHILADELPHIA","PA","SCHOOLS OF MEDICINE","191046205","UNITED STATES","N","3/1/2009 12:00:00 AM","2/28/2010 12:00:00 AM","846","Non-SBIR/STTR","2009"," "," ","NIAMS"," "," "," ","329723",
"Kidney Disease; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Accounting;Acute;Acute Renal Failure with Renal Papillary Necrosis;Address;Adult;Affect;Animal Model;Animals;Anti-Inflammatory Agents;Anti-inflammatory;Apoptosis;Apoptotic;Biological Markers;Bone Marrow;Cells;Characteristics;Chronic Kidney Failure;Data;Detection;Development;Endothelial Cells;Ensure;Epithelial;Epithelial Cells;Epithelium;Fibroblasts;Fibrosis;Functional disorder;Funding;Generations;Genetic;Genetic Models;Genetic Techniques;Goals;Grant;Human;Inflammation;Inflammatory;Inflammatory Response;Injury;Injury to Kidney;Ischemia;Kidney;Kidney Diseases;Label;Lead;Leukocytes;Literature;Modeling;Mus;Necrosis;Obstruction;Pattern;Phagocytes;Play;Population;Predisposition;Prevention strategy;Publishing;Recovery;Relative (related person);Renal function;Reperfusion Injury;Reperfusion Therapy;Research Personnel;Resolution;Rodent;Role;Sex Characteristics;Source;Stem cells;T-Lymphocyte;Tamoxifen;Testosterone;Therapeutic;Tissues;Tubular formation;Work;Zebrafish;cell injury;diphtheria toxin receptor;epithelial to mesenchymal transition;injured;injury and repair;interstitial cell;kidney cell;macrophage;man;mouse model;novel;preconditioning;precursor cell;prevent;progenitor;programs;reconstitution;renal epithelium;repaired;response;restoration;stem;transcription factor","Mechanisms of Ischemic Injury and Repair","n/a","NIDDK","7640770","6/15/2009 12:00:00 AM"," ","5R01DK039773-24","5","R01","DK","039773","24"," ","HOSHIZAKI, DEBORAH K","9/1/1984 12:00:00 AM","6/30/2012 12:00:00 AM","Pathobiology of Kidney Disease Study Section[PBKD]"," ","3314694","BONVENTRE, JOSEPH VINCENT","Not Applicable","07","Unavailable","030811269","QN6MS4VN7BD1","030811269","QN6MS4VN7BD1","US","42.334978","-71.105987","1080401","BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","Independent Hospitals","021156110","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","847","Non-SBIR/STTR","2009"," "," ","NIDDK"," "," "," ","401236",
"Biotechnology; Dental/Oral and Craniofacial Disease; Genetics","Address;Award;Binding;Cell Culture Techniques;Cell Nucleus;Cells;Chondrocytes;Cleaved cell;Collagen Fiber;DSPP gene;Defect;Dental Pulp;Dentin;Dentinogenesis;Dentists;Deposition;Development;Developmental Biology;Dissection;Electron Microscope;Electron Microscopy;Extracellular Matrix;Extracellular Matrix Proteins;Faculty;Family;Fluorochrome;Foundations;Gene Expression Regulation;Gene Proteins;Gene Targeting;Genes;Genetic Transcription;Glycoproteins;Goals;Height;Human;In Situ Hybridization;In Vitro;Knockout Mice;Learning;Length;Link;Mesenchymal Differentiation;Minerals;Molecular;Molecular Biology;Morphogenesis;Mus;Mutate;Odontoblasts;Osteoblasts;Osteocytes;Periodontal Pocket;Periodontitis;Phase;Phase Transition;Phenotype;Play;Process;Protein Fragment;Proteins;Publications;Pulp Chambers;Raman Spectrum Analysis;Rattus;Reagent;Research;Research Personnel;Research Technics;Reverse Transcriptase Polymerase Chain Reaction;Role;Scanning Transmission Electron Microscopy Procedures;Solid;Spectrum Analysis;Staging;Testing;Therapeutic Intervention;Thick;Tooth Abnormalities;Tooth Diseases;Tooth Germ;Tooth structure;Training;Transgenic Mice;Transgenic Organisms;Width;alizarin complexone;alveolar bone;bone;bone morphogenetic protein receptors;cell growth;dentin matrix protein 1;experience;fluorexon;gene function;in vivo;insight;interest;loss of function;member;mineralization;novel;overexpression;prenatal;programs;promoter;research study;skills;tool;transcription factor","Roles of Dmp1 in dentinogenesis","n/a","NIDCR","7638430","6/24/2009 12:00:00 AM","PAR-00-097","5K22DE016977-04","5","K22","DE","016977","04"," ","HARDWICK, KEVIN S","7/3/2006 12:00:00 AM","6/30/2011 12:00:00 AM","NIDCR Special Grants Review Committee[DSR]"," ","8879589","YE, LING ","Not Applicable","05","DENTISTRY","010989619","J9CDGR596MN3","010989619","J9CDGR596MN3","US","39.034521","-94.575773","578004","UNIVERSITY OF MISSOURI KANSAS CITY","KANSAS CITY","MO","SCHOOLS OF DENTISTRY/ORAL HYGN","641102446","UNITED STATES","N","7/1/2009 12:00:00 AM","6/30/2010 12:00:00 AM","121","Other Research-Related","2009"," "," ","NIDCR"," "," "," ","133774",
"Eye Disease and Disorders of Vision; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human","Antigens;Automobile Driving;Behavior;Biological Models;Biological Preservation;Blocking Antibodies;Bromodeoxyuridine;Cadherins;Calcium;Cataract;Cataract Extraction;Cell Lineage;Cell Proliferation;Cell physiology;Cell surface;Cells;Complement;Confocal Microscopy;Cytometry;Development;Disease;Epiblast;Epithelial Cells;Etiology;Fibrosis;Goals;Immunofluorescence Immunologic;Injury;Integrins;Label;Lead;Lens Diseases;Lens Opacities;Location;Magnetism;Maintenance;Mediating;Mesenchymal;Modeling;Muscle satellite cell;Myofibroblast;Phenotype;Regulation;Resolution;Role;Skeletal Muscle;Smooth Muscle;Smooth Muscle Actin Staining Method;Sorting - Cell Movement;Source;Stem cells;System;Techniques;Therapeutic;Time;Vision;capsule;cell behavior;cell motility;lens;lens capsule;lens induction;migration;precursor cell;prevent;public health relevance;research study;response;response to injury;skeletal;src-Family Kinases;stem;stem cell niche;stem cell population;wound","The Stem Cell Niche and Lens Fibrotic Disease","
Lens fibrotic disease causes lens opacities leading to the formation of cataracts which
block vision. The exact etiology of lens fibrotic disease is unknown and the long term
goals of this project are to understand the role of a subpopulation of G8pos skeletal
muscle stem cells, which are located in the lens and emerge from their stem cell niche
upon injury, in the induction of lens fibrotic disease. Elucidation of such mechanisms
could not only broaden our understanding of stem cell behavior in response to
injury-induced changes to their niche but also lead to the development of anti-fibrotic
therapeutics to preserve vision.","NEI","7639113","7/22/2009 12:00:00 AM","PA-06-181","1R21EY019571-01","1","R21","EY","019571","01"," ","ARAJ, HOUMAM H","8/1/2009 12:00:00 AM","7/31/2011 12:00:00 AM","Anterior Eye Disease Study Section[AED]"," ","9462626","WALKER, JANICE LYNN","Not Applicable","03","PATHOLOGY","053284659","R8JEVL4ULGB7","053284659","R8JEVL4ULGB7","US","39.949004","-75.155569","4050801","THOMAS JEFFERSON UNIVERSITY","PHILADELPHIA","PA","SCHOOLS OF MEDICINE","191074418","UNITED STATES","N","8/1/2009 12:00:00 AM","7/31/2010 12:00:00 AM","701","Non-SBIR/STTR","2009"," "," ","NEI"," "," "," ","228208",
"Cardiovascular; Genetics; Heart Disease; Human Genome; Pediatric","8p22;Accounting;Affect;Alleles;Blood;Cardiac;Cause of Death;Cell Lineage;Codon Nucleotides;Congenital Abnormality;Congenital Heart Defects;Critical Pathways;DNA Binding;DNA-Binding Proteins;Data;Defect;Development;Developmental Process;Disease;Embryo;Embryonic Development;Etiology;Family member;Gene Targeting;Generations;Genes;Genetic;Genetic Predisposition to Disease;Glycine;Goals;Heart;Heart Atrium;Heart Septal Defects;Heart failure;Holt Oram syndrome;Human;In Vitro;Individual;Life;Life Expectancy;Limb structure;Live Birth;Lung;Maps;Mediating;Mesenchymal;Molecular;Mus;Mutation;Myocardium;Pathway interactions;Patients;Pattern;Phenotype;Play;Point Mutation;Process;Proteins;Regulation;Research;Research Personnel;Role;Serine;Signaling Pathway Gene;Vascular Diseases;Ventricular Septal Defects;Zinc Fingers;atrioventricular septal defect;base;cardiogenesis;cell type;congenital heart disorder;genetic linkage analysis;genetic pedigree;genome-wide linkage;in vivo;mutant;novel;programs;protein protein interaction;smoothened signaling pathway;transcription factor","Genetic Regulation of Cardiac Septation","n/a","NHLBI","7613484","3/23/2009 12:00:00 AM"," ","5R01HL088965-03","5","R01","HL","088965","03"," ","SCHRAMM, CHARLENE A","7/16/2007 12:00:00 AM","7/31/2009 12:00:00 AM","Development - 2 Study Section[DEV2]"," ","7355960","GARG, VIDU ","Not Applicable","30","PEDIATRICS","800771545","YZJ6DKPM4W63","800771545","YZJ6DKPM4W63","US","32.814772","-96.841146","578404","UT SOUTHWESTERN MEDICAL CENTER","DALLAS","TX","SCHOOLS OF MEDICINE","753909105","UNITED STATES","N","5/1/2009 12:00:00 AM","7/31/2009 12:00:00 AM","837","Non-SBIR/STTR","2009"," "," ","NHLBI"," "," "," ","150499",
"Aging; Dental/Oral and Craniofacial Disease; Genetics; Osteoporosis","Adult;Age-Months;Aging;Biochemical Genetics;Biological;Bone remodeling;Calvaria;Cell Adhesion;Cell Nucleus;Cells;Cephalic;Chromatin;Complex;Consensus;DNA;Development;Dominant-Negative Mutation;Environment;Exercise;Extracellular Matrix;Extracellular Signal Regulated Kinases;FGF2 gene;Gene Expression;Gene Family;Genetic Transcription;Goals;Growth Factor;Homeostasis;Hormonal;Hormones;IGF1 gene;In Vitro;Knock-in Mouse;Laboratories;Life;Link;MAP2K1 gene;Maps;Marrow;Mechanical Stimulation;Mechanics;Mediating;Mesenchymal Differentiation;Mitogen-Activated Protein Kinases;Modeling;Mus;Mutation;Nuclear;Osteoblasts;Osteocytes;Osteogenesis;Osteoporosis;Ovariectomy;Pathway interactions;Phenotype;Phosphorylation;Phosphorylation Site;Phosphotransferases;Physiological;Process;Proteins;Regulation;Regulator Genes;Role;Serine;Signal Transduction;Site;Skeletal Development;Skeleton;Stimulus;Stromal Cells;Study models;Testing;Therapeutic;Tissues;Transcriptional Activation;Transgenes;Transgenic Mice;Weight-Bearing state;age related;base;bone;bone loss;expression vector;extracellular;fluid flow;in vivo;mature animal;mineralization;mutant;novel;novel therapeutic intervention;osteoblast differentiation;prevent;promoter;response;shear stress;transcription factor","MAP KINASE REGULATION OF OSTEOBLAST FUNCTION","n/a","NIDCR","7903811","9/1/2009 12:00:00 AM","PA-07-070","3R01DE011723-12S1","3","R01","DE","011723","12","S","WAN, JASON","9/1/2009 12:00:00 AM","6/30/2012 12:00:00 AM","Skeletal Biology Development and Disease Study Section[SBDD]"," ","1865627","FRANCESCHI, RENNY THEODORE","Not Applicable","12","DENTISTRY","073133571","GNJ7BBP73WE9","073133571","GNJ7BBP73WE9","US","42.244005","-83.73915","1506502","UNIVERSITY OF MICHIGAN AT ANN ARBOR","ANN ARBOR","MI","SCHOOLS OF DENTISTRY/ORAL HYGN","481091276","UNITED STATES","N","9/1/2009 12:00:00 AM","6/30/2012 12:00:00 AM","701","Non-SBIR/STTR","2009"," "," ","NIDCR"," "," "," ","308407",
"Biodefense; Emerging Infectious Diseases; Genetics; Infectious Diseases; Injury (total) Accidents/Adverse Effects","Adrenergic Antagonists;Adrenergic Receptor;Adrenergic beta-Antagonists;Algorithms;Animal Model;Animals;Apoptosis;Architecture;Area;Arts;Biological Assay;Biological Markers;Biology;Biometry;Burn injury;CREB1 gene;Cell Proliferation;Cells;Clinic;Clinical;Clinical Sciences;Complex;Critical Pathways;Cytokine Gene;Data;Development;Dose;Evaluation;Failure;Fibroblast Growth Factor;Foundations;Gene Expression;Gene Proteins;Genes;Genetic;Glean;HSPB1 gene;Harvest;Healed;Health Benefit;Human;Impaired wound healing;Individual;Inflammation;Injury;Interleukins;Intervention;Investigation;Ionizing radiation;JUN gene;Leadership;Lesion;MAP Kinase Gene;MAP2K1 gene;MAPK1 gene;MAPK14 gene;MAPK3 gene;MAPK8 gene;Measures;Mesenchymal Stem Cells;Methods;Metric;Modeling;Molecular;Molecular Biology;Molecular Profiling;Mus;NF-kappa B;Nuclear Warfare;Operative Surgical Procedures;Outcome;Pathway interactions;Patients;Pattern;Pharmaceutical Preparations;Phase;Proteins;Public Health;Qualifying;RNA;ROC Curve;Radiation;Radiation Injuries;Radiobiology;Safety;Sampling;Science;Skin;Skin Tissue;Statistical Methods;Surface;Surgical wound;TP53 gene;Testing;Time;Tissues;Trauma;Vascular Endothelial Growth Factors;Work;Wound Healing;Wounds and Injuries;base;beta-adrenergic receptor;cost;cytokine;healing;human data;improved;in vivo;injured;interest;irradiation;keratinocyte;mouse model;multidisciplinary;novel therapeutic intervention;programs;protein expression;public health relevance;repaired;response;success;wound","Molecular mechanisms and novel therapeutic approaches to combined radiation and b","
Public Health Relevance
In a nuclear warfare or terrorist incident, combined injury by radiation and burn wounding
is likely. We will provide a better mechanistic understanding of the molecular biology
behind healing of combined injury wounds, and will test a non-invasive assay for wound
healing success and a potential therapy to improve healing. All of this would be of
considerable public health benefit in such a scenario.","NIAID","7656900","6/15/2009 12:00:00 AM","RFA-AI-07-038","5R21AI080604-02","5","R21","AI","080604","02"," ","DICARLO-COHEN, ANDREA L","7/15/2008 12:00:00 AM","2/28/2011 12:00:00 AM","ZAI1-BDP-I(M3)"," ","1973299","ROCKE, DAVID M.","ISSEROFF, ROSLYN R.","03","PUBLIC HEALTH & PREV MEDICINE","047120084","TX2DAGQPENZ5","047120084","TX2DAGQPENZ5","US","38.543675","-121.729989","577503","UNIVERSITY OF CALIFORNIA AT DAVIS","DAVIS","CA","SCHOOLS OF MEDICINE","956186153","UNITED STATES","N","7/1/2009 12:00:00 AM","2/28/2011 12:00:00 AM","855","Non-SBIR/STTR","2009"," "," ","OD"," "," "," ","90000",
