"NIH Spending Categorization","Project Terms","Project Title","Public Health Relevance","Administering IC","Application ID","Award Notice Date","FOA","Project Number","Type","Activity","IC","Serial Number","Support Year","Suffix","Program Official Information","Project Start Date","Project End Date","Study Section","Subproject Number","Contact PI Person ID","Contact PI / Project Leader","Other PI or Project Leader(s)","Congressional District","Department","Primary DUNS","Primary UEI","DUNS Number","UEI","FIPS","Latitude","Longitude","Organization ID (IPF)","Organization Name","Organization City","Organization State","Organization Type","Organization Zip","Organization Country","ARRA Indicator","Budget Start Date","Budget End Date","CFDA Code","Funding Mechanism","Fiscal Year","Total Cost","Total Cost (Sub Projects)","Funding IC(s)","Direct Cost IC","InDirect Cost IC","NIH COVID-19 Response","Total Cost IC",
"Alcoholism; Brain Disorders; Conditions affecting unborn children; Dental/Oral and Craniofacial Disease; Fetal Alcohol Syndrome; Genetics; Mental Retardation (Intellectual and Developmental Disabilities (IDD)); Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Substance Abuse; Transplantation","Address;Adult;Affect;Age;Alcohol abuse;Alcohol consumption;Alcohol-Related Neurodevelopmental Disorder;Alcohol-related birth defects;Alcoholic Liver Diseases;Alcohols;Animal Model;Biological Process;Brain;Cardiovascular Diseases;Characteristics;Child;Clinical;DNA;DNA Methylation;Defect;Dental Pulp;Development;Disease;Dysmorphology;Embryo;Endocrine;Ensure;Epigenetic Process;Fetal Alcohol Syndrome;Fetal Growth Retardation;Functional disorder;Future;Generations;Goals;Grant;Health;Human;Immune System Diseases;Impairment;Injury;Knowledge;Maintenance;Malignant Neoplasms;Mediating;Mesenchymal Stem Cells;Modeling;Molecular;Molecular Profiling;Mus;Nervous System Trauma;Neural Crest;Neuraxis;Neuronal Differentiation;Organ;Osteoporosis;Outcome;Pancreatitis;Pathway interactions;Physiological;Play;Pregnancy;Process;Property;Regenerative Medicine;Regulation;Regulator Genes;Reporting;Research;Role;Signal Pathway;Somatic Cell;Stem cells;Study models;Systems Biology;Teenagers;Testing;Therapeutic;Undifferentiated;adult stem cell;alcohol effect;alcohol exposure;body system;cell type;chronic alcohol ingestion;clinical application;craniofacial;design;embryonic stem cell;epigenomics;fetal;human embryonic stem cell;human stem cells;improved;in vivo;induced pluripotent stem cell;innovation;novel;prevent;self-renewal;stem;stem cell biology;stem cell division;tool;transcriptomics;transdifferentiation","Alcohol-induced epigenetic alterations in human stem cells"," Alcohol abuse is known to cause abnormalities in a number of organ systems. Disorders most commonly associated with chronic alcohol consumption include alcoholic liver disease (ALD), pancreatitis, cardiovascular disease, endocrine dysfunction, osteoporosis, cancer, and immune dysfunction. It is still unanswered about what are the specific mechanisms by which alcohol induces developmental defects. This is important question to address in order for us to identify affected children at an early age and intervene to prevent or mitigate the damage. Outcomes from this proposal will significantly advance our understanding in human stem cell biology by elucidating epigenetic molecular signatures and pathways affected by alcohol exposure in human embryonic stem cells and human dental pulp stem cells. Stem cells may also prove valuable in developing therapeutic approaches for treating alcohol-induced physiological impairments and overt organ damage. Our understanding on the effect of alcohol on stem cells will be beneficial to design future clinical application of stem cells to improve human health.  
  
    

","NIAAA","8331617","6/27/2012 12:00:00 AM","RFA-ES-10-002","5R01AA021301-02","5","R01","AA","021301","02"," ","GAO, PETER","9/15/2011 12:00:00 AM","6/30/2014 12:00:00 AM","Special Emphasis Panel[ZRG1-GGG-H(50)R]"," ","6951767","KIM, YONG ","Not Applicable","33","DENTISTRY","092530369","RN64EPNH8JC6","092530369","RN64EPNH8JC6","US","34.104809","-118.41105","577505","UNIVERSITY OF CALIFORNIA LOS ANGELES","LOS ANGELES","CA","SCHOOLS OF DENTISTRY/ORAL HYGN","900952000","UNITED STATES","N","7/1/2012 12:00:00 AM","6/30/2013 12:00:00 AM","273","Non-SBIR/STTR","2012"," "," ","NIAAA","239467","108900"," ","348367",
"Biotechnology; Gene Therapy; Genetics; Hematology; Orphan Drug; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Stem Cell Research - Nonembryonic - Non-Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Human; Transplantation","A Mouse;Affect;Anabolism;Antibodies;Biology;Biomedical Engineering;Blood;Blood Cells;Blood Clot;Blood Coagulation Factor;Blood coagulation;Bone Marrow Transplantation;CD34 gene;Cell Lineage;Cells;Clinical;Clinical Trials;Data;Development;Disease;Drug Kinetics;Engineering;Engraftment;Factor VIII;Family suidae;Gene Mutation;Gene Transfer;Genetic;Goals;HIV;Hematopoietic;Hematopoietic Stem Cell Transplantation;Hematopoietic stem cells;Hemophilia A;Hemorrhage;Human;Immune Tolerance;Immune response;Immunization;Immunologic Deficiency Syndromes;Immunosuppression;In Vitro;Individual;Insertional Mutagenesis;Intravenous infusion procedures;Joints;Lentivirus Vector;Mesenchymal Stem Cells;Methods;Modeling;Modification;Morbidity - disease rate;Mus;Outcome;Pathway interactions;Patients;Performance;Phase I Clinical Trials;Plasma Proteins;Population;Procedures;Production;Property;Proteins;Protocols documentation;Reagent;Recombinants;Regimen;Reporting;Retroviral Vector;Retroviridae;SIV;Safety;Stem cell transplant;Stem cells;System;Testing;Therapeutic;Toxic effect;Transgenes;Transgenic Organisms;Translating;Transplantation;Transplantation Conditioning;Treatment Efficacy;Viral Genes;Xenograft procedure;arthropathies;base;clinically relevant;clinically significant;conditioning;cost;design;expression vector;gene therapy;gene therapy clinical trial;gene transfer vector;genetically modified cells;human F8 protein;in vivo;inhibitor/antagonist;mouse model;novel;preclinical study;promoter;protein expression;public health relevance;simian human immunodeficiency virus;stem;stem cell biology;success","Hematopoietic gene therapy for hemophilia A","
PROJECT NARRATIVE
Hemophilia A is a bleeding disorder caused by insufficiency of a blood clotting factor, designated factor VIII, for
which gene therapy offers a potential cure. However, pre-clinical studies and clinical trials showed that a major
limitation to a successful gene therapy treatment is the extremely poor expression of fVIII from the human fVIII
transgene, which we recently overcame by introducing a porcine fVIII transgene. We demonstrated that use of
the porcine transgene results in up to 100-fold greater fVIII production than the human version, and more
recently, we demonstrated that a similar differential is observed following gene transfer into blood stem cells
using recombinant retroviruses. Our current studies focus on better understanding the critical pharmacologic
parameters involved in generating curative fVIII levels with this procedure using a mouse model of hemophilia
A with the goal of understanding how this application can best be translated to clinical successes.","NHLBI","8230688","2/28/2012 12:00:00 AM","PA-07-070","5R01HL092179-04","5","R01","HL","092179","04"," ","LINK, REBECCA P","4/1/2009 12:00:00 AM","2/28/2014 12:00:00 AM","Gene and Drug Delivery Systems Study Section[GDD]"," ","2123578","DOERING, CHRISTOPHER BRADLEY","SPENCER, H TRENT","05","PEDIATRICS","066469933","S352L5PJLMP8","066469933","S352L5PJLMP8","US","33.762977","-84.42296","2384501","EMORY UNIVERSITY","ATLANTA","GA","SCHOOLS OF MEDICINE","303224250","UNITED STATES","N","3/1/2012 12:00:00 AM","2/28/2013 12:00:00 AM","839","Non-SBIR/STTR","2012"," "," ","NHLBI","250000","137500"," ","387500",
"Biotechnology; Cancer; Gene Therapy; Genetics; Hematology; Rare Diseases; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation","Accounting;Adjuvant;Affect;Angiogenic Factor;Angiostatins;B lymphoid malignancy;Binding;Biology;Bone Diseases;Bone Marrow;Bone Pain;Bone Resorption;Bone remodeling;Cell Proliferation;Cell Therapy;Cells;Chemotherapy-Oncologic Procedure;Clinical Trials;Complement Factor B;Development;Disease;Disease Management;Disease Progression;Disease remission;Early treatment;Ectopic Expression;Endostatins;Engineered Gene;Engineering;Event;Gene Transfer;Genetic;Goals;Growth;Health;Hematologic Neoplasms;Homing;Human;Hypercalcemia;Infiltration;Integrins;Lead;Length;Lesion;Ligands;Limb structure;Long-Term Effects;Lytic;Marrow;Mesenchymal Stem Cells;Methods;Modality;Modification;Molecular;Morbidity - disease rate;Multiple Myeloma;Nuclear;Osteoblasts;Osteoclasts;Osteolytic;Pathological fracture;Pathology;Patients;Pelvis;Phase;Plasma Cells;Process;Proteins;Recombinant adeno-associated virus (rAAV);Recurrent disease;Relapse;Role;Skeleton;Staging;Stromal Cells;T-Lymphocyte;TNFSF10 gene;TNFSF11 gene;Testing;Therapeutic;Therapeutic Effect;Treatment Efficacy;Treatment Protocols;Tumor Angiogenesis;Tumor necrosis factor receptor 11b;Vascular Endothelial Growth Factors;Work;adeno-associated viral vector;angiogenesis;base;bone;bone loss;cell growth;chemotherapy;cranium;design;disease diagnosis;effective therapy;gene therapy;human disease;improved;in vivo;inhibitor/antagonist;long bone;mouse model;neoplastic cell;novel;osteoclastogenesis;osteogenic;osteopontin;pre-clinical;prevent;receptor;rib bone structure;spine bone structure;stem cell differentiation;stem cell therapy;tumor;tumor growth","Gene-Engineered and Targeted Stem Cell Therapy for Myeloma","
PROJECT NARRATIVE
Multiple myeloma is a B-cell malignancy characterized by the infiltration and growth of plasma cells in the
bone marrow. Patients with MM develop osteolytic bone disease permanently in the skull, ribs,
vertebrae, pelvis, and long bones of the limb, characterized by bone pain, pathologic fractures, and
hypercalcemia, making this a major cause of morbidity. Despite advances in chemotherapy regimens
used to treat patients with MM, the median length of survival after diagnosis of the disease is
approximately three years. Thus, newer therapies targeting multiple events of myeloma cell growth and
proliferation, including bone microenvironment and tumor vasculature need to be developed for
increasing patient survival. The central hypothesis of the proposed work is bone-targeted, genetically
engineered MSC therapy capable of inhibiting osteoclast activity by stable expression of OPG will be an
effective treatment for decreasing osteolytic bone lesions in MM. By combining the OPG therapy with
tumor-targeted chemotherapy and tumor vasculature-targeted anti-angiogenic gene therapy we seek to
establish a novel treatment paradigm for MM in a preclinical mouse model. Successful completion of
these studies will allow us to initiate phase-1 human clinical trials.","NCI","8247151","3/29/2012 12:00:00 AM","PA-07-070","5R01CA133737-04","5","R01","CA","133737","04"," ","YOVANDICH, JASON L","5/1/2009 12:00:00 AM","3/31/2014 12:00:00 AM","Developmental Therapeutics Study Section[DT]"," ","6379862","PONNAZHAGAN, SELVARANGAN ","Not Applicable","07","PATHOLOGY","063690705","YND4PLMC9AN7","063690705","YND4PLMC9AN7","US","33.506935","-86.809252","1288803","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","SCHOOLS OF MEDICINE","352940001","UNITED STATES","N","4/1/2012 12:00:00 AM","3/31/2013 12:00:00 AM","395","Non-SBIR/STTR","2012"," "," ","NCI","201275","90574"," ","291849",
"Biotechnology; Cancer; Immunization; Orphan Drug; Ovarian Cancer; Rare Diseases; Vaccine Related","Abdominal Cavity;Address;Adhesions;Animal Model;Animals;Antibodies;Antigens;Antiviral Agents;Applications Grants;Attenuated Vaccines;Biometry;CA-125 Antigen;CD46 Antigen;Cancer Model;Cancer Patient;Carcinoembryonic Antigen;Catheters;Cell Line;Cell Therapy;Cell surface;Cells;Cessation of life;Clinic;Clinical;Complement;Cyclophosphamide;Diffusion;Disease;Dose;Engineering;Fox Chase Cancer Center;Gamma Cameras;Gene Expression;Genes;Giant Cells;Grant;Greater sac of peritoneum;Gynecologic;Herpesviridae;Human;Image;Immune;Immune response;Immunity;Immunology;Immunosuppressive Agents;Infection;Instruction;Intravenous;Iodine Isotopes;Isotopes;Laboratories;Letters;Malignant Female Reproductive System Neoplasm;Malignant Neoplasms;Malignant neoplasm of ovary;Measles;Measles Vaccine;Measles virus;Membrane Fusion;Mesenchymal Stem Cells;Minority;Molecular Medicine;Monitor;Morbidity - disease rate;Multiple Myeloma;Mus;Nude Mice;Oncolytic;Oncolytic viruses;Ovarian;Patients;Peptides;Peritoneal;Peritoneal Fluid;Personal Communication;Pharmaceutical Preparations;Phase;Phase I Clinical Trials;Process;Property;Radioactive Iodine;Recurrence;Recurrent disease;Research Personnel;SLC5A5 gene;Safety;Saimiri;Serum;Site;Stable Disease;Structure;Technetium;Testing;Therapeutic;Therapeutic Agents;Therapeutic Uses;Transgenes;Translating;United States;Viral;Viral Genes;Viral Proteins;Virus;Virus Receptors;Xenograft procedure;antitumor agent;cancer cell;cancer therapy;cytotoxicity;efficacy testing;gene therapy;improved;in vivo;innovation;intraperitoneal;intravenous administration;neoplastic cell;novel;novel strategies;novel therapeutics;outcome forecast;patient population;patient registry;phase 1 study;pre-clinical;programs;research clinical testing;research study;response;sample fixation;single photon emission computed tomography;sodium-iodide symporter;therapeutic transgene;tissue culture;tumor;tumor specificity","Optimizing Measles Virotherapy in the Treatment of Recurrent Ovarian Cancer","n/a","NCI","8380540","9/19/2012 12:00:00 AM","PAR-08-020","5P50CA136393-04","5","P50","CA","136393","04"," "," "," "," ","ZCA1-RPRB-M","7925","6107734","GALANIS, EVANTHIA ","PENG, KAH-WHYE ","01","Unavailable","006471700","Y2K4F9RPRRG7","006471700","Y2K4F9RPRRG7","US","44.022374","-92.465881","4976101","MAYO CLINIC ROCHESTER","ROCHESTER","MN","Other Domestic Non-Profits","559050001","UNITED STATES","N","9/1/2012 12:00:00 AM","8/31/2013 12:00:00 AM"," ","Research Centers","2012","372958","372958"," ","251920","121038"," "," ",
"Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease; Regenerative Medicine","Adult;Anatomy;Area;Biochemical Genetics;Cardiac;Cardiac Myocytes;Cause of Death;Cells;Cellular Structures;Cicatrix;Cytokine Gene;Development;Dilatation - action;Embryonic Heart;Epicardium;Epithelial;Epithelial Cells;Extracellular Matrix;Family;Fibroblasts;Fibrosis;Generations;Growth Factor;Heart;Heart Diseases;Heart failure;Hour;In Situ Hybridization;Infarction;Injection of therapeutic agent;Injury;Interruption;Lead;Maps;Mediating;Mediator of activation protein;Mesenchymal;Methods;Molecular;Molecular Genetics;Morbidity - disease rate;Mus;Muscle Cells;Myocardial;Myocardial Infarction;Myocardial rupture;Myocardium;Natural regeneration;Organogenesis;Pattern;Performance;Phenotype;Physiological;Play;Process;Proliferating;Proteins;Public Health;Pump;Regulation;Reporter;Role;Signal Transduction;Signaling Molecule;Site;Stress;Structure;Techniques;Technology;Therapeutic;Time;Tissues;United States;cardiac repair;cardiogenesis;cytokine;extracellular;hemodynamics;holistic approach;human SFRP4 protein;improved;injured;mortality;muscle form;novel;novel therapeutics;prevent;programs;promoter;public health relevance;repaired;research study;response;response to injury","Role of Wnts in Cardiac Repair","
PROJECT NARRATIVE
The adult heart following a heart attack does not regenerate damaged muscle but forms a non-functioning scar
in the injured region. We have identified that a developmentally important molecule known as Wnt1 contributes
to scar formation in the injured heart. In this proposal, we will determine how Wnt1 regulates scar formation in
the injured heart and aim to minimize scar formation and improve cardiac function through manipulation of Wnt
signaling.","NHLBI","8268991","5/8/2012 12:00:00 AM","PA-07-070","5R01HL102190-03","5","R01","HL","102190","03"," ","SCHWARTZ, LISA","6/15/2010 12:00:00 AM","5/31/2015 12:00:00 AM","Myocardial Ischemia and Metabolism Study Section[MIM]"," ","8670141","DEB, ARJUN ","Not Applicable","04","INTERNAL MEDICINE/MEDICINE","608195277","D3LHU66KBLD5","608195277","D3LHU66KBLD5","US","35.926939","-79.038605","578206","UNIV OF NORTH CAROLINA CHAPEL HILL","CHAPEL HILL","NC","SCHOOLS OF MEDICINE","275995023","UNITED STATES","N","6/1/2012 12:00:00 AM","5/31/2013 12:00:00 AM","837","Non-SBIR/STTR","2012"," "," ","NHLBI","247500","118800"," ","366300",
"Biotechnology; Genetics; Human Genome; Nutrition; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Stem Cell Research - Umbilical Cord Blood/ Placenta; Stem Cell Research - Umbilical Cord Blood/ Placenta - Non-Human","Bioinformatics;Biological;Bone Surface;Calcitriol;Cell Count;Cell Survival;Cell physiology;Cells;Chromatin;Coupling;Custom;DNA;DNA Microarray Chip;Development;Employee Strikes;Epigenetic Process;Evaluation;Gene Chips;Gene Expression;Gene Expression Regulation;Gene Targeting;Genes;Genome;Growth;Health;Homeostasis;Hormones;Individual;Informatics;Life;Maintenance;Mediating;Medicine;Mesenchymal;Metabolic;Minerals;Modification;Molecular;Molecular Target;Nature;Osteoblasts;Osteoclasts;Output;Parathyroid gland;Pharmaceutical Preparations;Play;Process;Production;Proliferating;Property;RNA Polymerase II;Receptor Activation;Regulation;Relative (related person);Research;Role;Series;Site;Structure;Techniques;Therapeutic;Tissues;Undifferentiated;Veins;Vitamin D;Vitamin D Analog;Vitamin D3 Receptor;autocrine;base;bone;bone cell;cell growth;cell type;cellular targeting;chromatin immunoprecipitation;comparative;cytokine;density;design;genome wide association study;genome-wide;histone modification;insight;novel;osteoblast differentiation;paracrine;peptide hormone;precursor cell;receptor;skeletal;steroid hormone;tool;transcription factor","Dynamic Mechanisms of Vitamin D-Induced Gene Expression","
Narrative
Vitamin D plays significant roles both in the maintenance of mineral homeostasis and in
the control of cellular growth and function. The studies herein seek to enhance our
understanding of the mechanisms that underlie vitamin D action in bone cells such that
better and more selective medicines can be created.","NIDDK","8306852","5/31/2012 12:00:00 AM","PA-07-070","5R01DK072281-08","5","R01","DK","072281","08"," ","MARGOLIS, RONALD N","9/1/2005 12:00:00 AM","5/31/2013 12:00:00 AM","Skeletal Biology Structure and Regeneration Study Section[SBSR]"," ","6612277","PIKE, J WESLEY","Not Applicable","02","BIOCHEMISTRY","161202122","LCLSJAGTNZQ7","161202122","LCLSJAGTNZQ7","US","43.068377","-89.40086","578503","UNIVERSITY OF WISCONSIN-MADISON","MADISON","WI","EARTH SCIENCES/RESOURCES","537151218","UNITED STATES","N","6/1/2012 12:00:00 AM","5/31/2013 12:00:00 AM","847","Non-SBIR/STTR","2012"," "," ","NIDDK","256861","117342"," ","374203",
"Genetics; Osteoporosis; Pediatric","Affect;Birth;Bone Marrow;Cartilage;Cell Differentiation process;Cells;Charcot-Marie-Tooth Disease;Chondrocytes;Collagen Type X;Commit;Complex;DNA Binding;Deformity;Demyelinations;Down-Regulation;Elements;Exhibits;FGFR2 gene;FGFR3 gene;Fibroblast Growth Factor;Fibroblast Growth Factor Receptors;Genetic;Health;Human;In Situ Hybridization;Knockout Mice;Lead;MAPK1 gene;MAPK3 gene;Mediating;Mesenchymal;Mitogen-Activated Protein Kinases;Mus;Mutation;Osteoblasts;Osteocalcin;Osteogenesis;Osteopenia;Osteoporosis;Pathway interactions;Periosteal Cell;Periosteum;Peripheral Nerves;Phenotype;Play;Primary Ossification Center;Proteins;Regulation;Response Elements;Role;Signal Transduction;Skeletal Development;Syndrome;System;Testing;Time;Transgenes;Undifferentiated;base;beta catenin;bone;bone epiphysis;cartilage development;humerus;insight;neurodevelopment;novel;osteoblast differentiation;osteogenic;promoter;research study;skeletal;skeletal disorder;skeletogenesis;tibia;transcription factor","ERK Mitogen Activated Protein Kinases in Skeletogenesis","
Project Narrative
Human mutations in the molecules in the ERK MAPK pathway have been identified in a number
of skeletal syndromes. This study identifies novel regulatory mechanisms of bone formation by
ERK1 and ERK2. The identification of the regulatory mechanisms will provide much needed
information for controlling bone formation in various skeletal disorders such as osteoporosis and
genetic skeletal syndromes.","NIAMS","8289660","8/3/2012 12:00:00 AM","PA-07-070","5R01AR055556-04","5","R01","AR","055556","04"," ","TYREE, BERNADETTE","8/10/2009 12:00:00 AM","7/31/2014 12:00:00 AM","Skeletal Biology Development and Disease Study Section[SBDD]"," ","1858783","GREENFIELD, EDWARD M.","Not Applicable","11","ORTHOPEDICS","077758407","HJMKEF7EJW69","077758407","HJMKEF7EJW69","US","41.505076","-81.609998","218601","CASE WESTERN RESERVE UNIVERSITY","CLEVELAND","OH","SCHOOLS OF MEDICINE","441061712","UNITED STATES","N","8/1/2012 12:00:00 AM","7/31/2014 12:00:00 AM","846","Non-SBIR/STTR","2012"," "," ","NIAMS","213840","121889"," ","335729",
"Acute Respiratory Distress Syndrome; Clinical Research; Clinical Trials; Hematology; Infectious Diseases; Lung; Orphan Drug; Patient Safety; Rare Diseases; Septicemia","Academic Medical Centers;Acute Lung Injury;Adverse event;Autophagocytosis;Biogenesis;Biological Markers;Biopsy;Breathing;Carbon Monoxide;Cells;Clinical;Clinical Data;Clinical Research;Clinical Trials;Collection;Critical Illness;Cytoprotection;Data;Data Analyses;Data Coordinating Center;Databases;Drug Kinetics;Enrollment;Gene Expression;Goals;Grant;Hospitals;Human;Institutional Review Boards;Instruction;International;Intervention Trial;Lead;Lung diseases;Medical;Mesenchymal;Mitochondria;Modality;Molecular Target;Morbidity - disease rate;Muscle;Outcome;Pathway interactions;Patient Agents;Patients;Phase;Phenotype;Physiological;Placebo Control;Plasma;Play;Population;Process;Program Research Project Grants;RNA;Reporting;Research Design;Research Infrastructure;Research Personnel;Resources;Role;Safety;Sampling;Sepsis;Sepsis Syndrome;Skeletal Muscle;Specimen;Specimen Handling;Stromal Cells;Therapeutic;Time;Translational Research;Woman;base;biobank;biological systems;cohort;experience;healthy volunteer;innovation;lung injury;metabolomics;monocyte;mortality;novel;novel therapeutic intervention;novel therapeutics;peripheral blood;programs;randomized placebo controlled trial;repository;response;safety study;sample collection;translational study","Clinical Studies Coordination Core","RELEVANCE (See Instructions): 
Sepsis-induced ALI is a condition with high morbidity and mortality and with limited available treatment options. This Translational Program Project Grant proposes to advance the understanding and application of a novel therapeutic modality, inhaled carbon monoxide, in these critically ill patients. This Core will play a key role in facilitating the translational aspects of this proposal for all of the proposed projects.","NHLBI","8380533","8/8/2012 12:00:00 AM","PAR-09-185","5P01HL108801-02","5","P01","HL","108801","02"," "," "," "," ","ZHL1-PPG-A","5940","6801990","BARON, REBECCA M","Not Applicable","07","Unavailable","030811269","QN6MS4VN7BD1","030811269","QN6MS4VN7BD1","US","42.334978","-71.105987","1080401","BRIGHAM AND WOMEN'S HOSPITAL","BOSTON","MA","Independent Hospitals","021156110","UNITED STATES","N","7/1/2012 12:00:00 AM","6/30/2013 12:00:00 AM"," ","Non-SBIR/STTR","2012","332960","332960"," ","196481","136479"," "," ",
"Dental/Oral and Craniofacial Disease; Genetics; Osteoporosis; Rare Diseases; Regenerative Medicine","Adult;Affect;Anabolic Agents;Antibodies;Binding;Biology;Bone Marrow;Bone Regeneration;Bone Resorption;Calvaria;Cartilage;Cell Differentiation process;Cells;Chondrocytes;Cleidocranial Dysplasia;Coculture Techniques;Complex;Craniosynostosis;Defect;Development;Disease;Elements;Embryo;Embryonic Development;Exhibits;Feedback;Fellowship;Genetic Models;Genotype;Hypertrophy;In Vitro;Knock-out;Knockout Mice;Laboratories;Maintenance;Mediating;Mesenchymal Differentiation;Modeling;Molecular;Mus;Natural regeneration;Osteoblasts;Osteoclasts;Osteogenesis;Osteopenia;Phenotype;Physiological;Play;Postdoctoral Fellow;Process;Property;Relative (related person);Research;Role;Scaffolding Protein;Signal Pathway;Signal Transduction;Stromal Cells;Techniques;Testing;Tissues;Training;Tumor Suppressor Proteins;Work;X-Ray Computed Tomography;bone;bone cell;bone mass;bone strength;carcinogenesis;career;career development;density;extracellular;inhibitor/antagonist;intramembranous bone formation;long bone;macrophage;meetings;mouse development;mutant;osteoblast differentiation;postnatal;promoter;skeletal;skills;spine bone structure;substantia spongiosa;transcription factor","Runx2 and Axin2 Interactions During Bone Formation"," This project explores the molecular interactions between two crucial regulators of bone repair/regeneration and optimal bone mass accrual and maintenance: Runx2 and Axin2. The proposed project is significant because Runx2 is required for osteoblastogenesis and Axin2 is a crucial negative regulator of the Wnt-2-catenin signaling pathway, which is a target for new anabolic agents. Because Axin2 is an intracellular inhibitor of 2-catenin and Lrp5 signaling, its activity could theoretically decrease the efficiency of emerging anabolic therapies that neutralize extracellular Wnt/Lrp5/6 inhibitors (e.g., anti-Sclerostin or anti-Dkk1 antibodies). An increased understanding of the interactions between Runx2 and Axin2 will have a collective impact because Runx2 and Axin2 also contribute to chondrocyte maturation and are tumor suppressors.  
    

","NIAMS","8334718","8/7/2012 12:00:00 AM","PA-10-110","5F32AR061873-02","5","F32","AR","061873","02"," ","CHEN, FAYE H","8/4/2011 12:00:00 AM","8/3/2013 12:00:00 AM","Special Emphasis Panel[ZRG1-F10B-S(20)L]"," ","10697922","BRADLEY, ELIZABETH W","Not Applicable","01","Unavailable","006471700","Y2K4F9RPRRG7","006471700","Y2K4F9RPRRG7","US","44.022374","-92.465881","4976101","MAYO CLINIC ROCHESTER","ROCHESTER","MN","Other Domestic Non-Profits","559050001","UNITED STATES","N","8/4/2012 12:00:00 AM","8/3/2013 12:00:00 AM","846","Training, Individual","2012"," "," ","NIAMS","55670"," "," ","55670",
"Neurosciences; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Embryonic - Human; Transplantation","Address;Adult;Affect;Auditory;Biological Models;Bone Marrow;Cell Line;Cell Survival;Cells;Characteristics;Cochlea;Cues;Development;Disease;Disease model;Electron Microscopy;Epithelium;Excision;Flow Cytometry;Foundations;Future;Gene Proteins;Generations;Goals;Grant;Hair Cells;Hearing;Histocytochemistry;Human;Immune;Immunohistochemistry;In Vitro;Individual;Labyrinth;Lead;Mesenchymal;Methods;Modeling;Mus;Natural regeneration;Neuraxis;Operative Surgical Procedures;Organ;Organ of Corti;Otic Placodes;Patients;Pluripotent Stem Cells;Population;Protocols documentation;Reporting;Research;Retina;Rodent;Science;Sensory;Signal Transduction;Stem Cell Development;Stem cell transplant;Stem cells;Techniques;Time;Tissues;Transplantation;Work;base;deafness;disability;embryonic stem cell;global health;hearing impairment;human embryonic stem cell;human stem cells;improved;in utero transplantation;induced pluripotent stem cell;model development;nerve stem cell;novel;otoconia;postnatal;precursor cell;progenitor;relating to nervous system;research study;stem;stem cell technology","Pluripotent Stem Cell Technology for the Study and treatment of Human hearing los"," Hearing loss is a global health concern and is caused, in most cases, by loss of the hair cells of the inner ear. These cells cannot regenerate spontaneously. Stem cells offer promise for the study and treatment of hair cell related hearing loss. This work will establish a method for the generation of inner ear hair cells from human stem cells in culture. In addition, this project will investigate the ability of stem cell-derived inner ear precrsor cells to survive and integrate into the developing mammalian inner ear upon transplantation.   
   
      

","NIDCD","8292762","2/13/2012 12:00:00 AM","PAR-10-055","1R03DC012432-01","1","R03","DC","012432","01"," ","FREEMAN, NANCY","2/15/2012 12:00:00 AM","1/31/2015 12:00:00 AM","ZDC1-SRB-L(51)"," ","9853639","GUBBELS, SAMUEL P","Not Applicable","02","SURGERY","161202122","LCLSJAGTNZQ7","161202122","LCLSJAGTNZQ7","US","43.068377","-89.40086","578503","UNIVERSITY OF WISCONSIN-MADISON","MADISON","WI","SCHOOLS OF MEDICINE","537151218","UNITED STATES","N","2/15/2012 12:00:00 AM","1/31/2013 12:00:00 AM","173","Non-SBIR/STTR","2012"," "," ","NIDCD","100000","46460"," ","146460",
